"","word","n"
"139","aldı",29
"140","alındı",29
"141","çalışan",29
"142","darp",29
"143","hızla",29
"144","isimli",29
"145","ö",29
"146","soruşturma",29
"147","yerinde",29
"148","istikametine",28
"149","merkezine",28
"150","aracından",27
"151","bağlı",27
"152","başlattı",27
"153","büyük",27
"154","genç",27
"155","hasar",27
"156","i̇stanbul",27
"157","karşısına",27
"158","ön",27
"159","şoka",27
"160","verdi",27
"161","yara",27
"162","09",26
"163","adam",26
"164","ambulans",26
"165","attı",26
"166","daldı",26
"167","döndü",26
"168","ekipler",26
"169","kaldırıma",26
"170","kazayla",26
"171","kontrolden",26
"172","otomobile",26
"173","şikayetçi",26
"174","yaya",26
"175","10",25
"176","acil",25
"177","almadan",25
"178","arasında",25
"179","ceza",25
"180","etmek",25
"181","görüntülerde",25
"182","hemen",25
"183","inerek",25
"184","istedi",25
"185","olayın",25
"186","sosyal",25
"187","tespit",25
"188","araçta",24
"189","dün",24
"190","kaybetti",24
"191","kişi",24
"192","nin",24
"193","yasemin",24
"194","07",23
"195","an",23
"196","basınca",23
"197","gözaltına",23
"198","iddia",23
"199","kaydedildi",23
"200","kısa",23
"201","maddi",23
"202","tedavi",23
"203","arkadaşı",22
"204","ekiplerine",22
"205","gözyaşlarına",22
"206","kadını",22
"207","kameralarına",22
"208","kazadan",22
"209","kazaya",22
"210","kemeri",22
"211","kırmızı",22
"212","saldırdı",22
"213","tartışma",22
"214","yanına",22
"215","yaşanan",22
"216","yaşlı",22
"217","yoldan",22
"218","yolu",22
"219","alınan",21
"220","aniden",21
"221","bulvarı",21
"222","ihbarı",21
"223","kaybeden",21
"224","korna",21
"225","müdürlüğü",21
"226","takip",21
"227","yandan",21
"228","yardımıyla",21
"229","arzu",20
"230","basan",20
"231","can",20
"232","çıkarak",20
"233","dha",20
"234","i̇hbar",20
"235","inceleme",20
"236","polisin",20
"237","söyledi",20
"238","tepki",20
"239","uçtu",20
"240","yaşandı",20
"241","adana'da",19
"242","aracıyla",19
"243","başlatıldı",19
"244","çarpıştı",19
"245","cezası",19
"246","çocuk",19
"247","durumunun",19
"248","ekibi",19
"249","ekiplerinin",19
"250","eseri",19
"251","etmeye",19
"252","görüntülendi",19
"253","itfaiye",19
"254","k",19
"255","kaldırımda",19
"256","merkez",19
"257","önünde",19
"258","para",19
"259","polise",19
"260","s",19
"261","şans",19
"262","şokunu",19
"263","t",19
"264","üzerinden",19
"265","verme",19
"266","yoluna",19
"267","zaman",19
"268","adamın",18
"269","akşam",18
"270","altına",18
"271","görünce",18
"272","gül",18
"273","hareket",18
"274","hastanesine",18
"275","ikna",18
"276","kavga",18
"277","kaybederek",18
"278","kurtardı",18
"279","şok",18
"280","sürücülerin",18
"281","yardım",18
"282","yolcular",18
"283","20",17
"284","aracının",17
"285","arkadan",17
"286","aynı",17
"287","durumu",17
"288","fark",17
"289","geri",17
"290","giden",17
"291","götürüldü",17
"292","hayatını",17
"293","ihlali",17
"294","kaçtı",17
"295","promil",17
"296","alan",16
"297","aydın",16
"298","belediye",16
"299","dönen",16
"300","durdu",16
"301","ekiplerince",16
"302","erdem",16
"303","i̇ha",16
"304","ilerleyen",16
"305","kaybetmesi",16
"306","kız",16
"307","kurtuldu",16
"308","metre",16
"309","osman",16
"310","şahıs",16
"311","şüpheli",16
"312","trafiği",16
"313","yerde",16
"314","yolcu",16
"315","zarar",16
"316","zeynep",16
"317","15",15
"318","a.k.ç",15
"319","ağladı",15
"320","aksaray",15
"321","araba",15
"322","aşağı",15
"323","bulundu",15
"324","cadde",15
"325","caddesi’nde",15
"326","camını",15
"327","diyerek",15
"328","ehliyetsiz",15
"329","geçmeye",15
"330","gitmek",15
"331","görüldü",15
"332","güncellenme",15
"333","günü",15
"334","halindeyken",15
"335","içinde",15
"336","iddiaya",15
"337","istikametinden",15
"338","ışık",15
"339","kaldırdı",15
"340","kaldırılan",15
"341","kimliği",15
"342","kızı",15
"343","kontrolünü",15
"344","kullanan",15
"345","lira",15
"346","medyada",15
"347","müdahale",15
"348","polisi",15
"349","polisler",15
"350","şehir",15
"351","ses",15
"352","sıkışan",15
"353","sırasında",15
"354","şube",15
"355","sürücüler",15
"356","yaptıktan",15
"357","yaşadığı",15
"358","yoğun",15
"359","adana",14
"360","anbean",14
"361","bildirdi",14
"362","binerek",14
"363","boğuldu",14
"364","çelik",14
"365","çocuğu",14
"366","elektrikli",14
"367","eşinin",14
"368","evin",14
"369","gelip",14
"370","güçlükle",14
"371","karayolu",14
"372","köpeği",14
"373","küçük",14
"374","mahallesi'nde",14
"375","müdahalesinin",14
"376","önünü",14
"377","sahibi",14
"378","sokağa",14
"379","ters",14
"380","uzaklaştı",14
"381","vurdu",14
"382","yaşadı",14
"383","ye",14
"384","yolunda",14
"385","17",13
"386","2018",13
"387","4",13
"388","annesi",13
"389","araçların",13
"390","bariyerlere",13
"391","boyunca",13
"392","çekici",13
"393","çevredekilerin",13
"394","denetleme",13
"395","dur",13
"396","eşi",13
"397","ev",13
"398","giren",13
"399","götürdü",13
"400","hastanesi'ne",13
"401","hastanesi’ne",13
"402","kaldı",13
"403","kaybettiği",13
"404","kenarında",13
"405","kesti",13
"406","konuştu",13
"407","olayda",13
"408","oluştu",13
"409","öte",13
"410","otobüsün",13
"411","otomobilde",13
"412","otomobilden",13
"413","otomobiline",13
"414","otomobille",13
"415","s.k",13
"416","sabah",13
"417","sağ",13
"418","seyreden",13
"419","sonrasında",13
"420","trafiğe",13
"421","uygulama",13
"422","uyruklu",13
"423","12",12
"424","35",12
"425","akat",12
"426","alarak",12
"427","araştırma",12
"428","bastı",12
"429","bekleyen",12
"430","bilgilere",12
"431","bursa'da",12
"432","çekti",12
"433","duran",12
"434","düşen",12
"435","geldiği",12
"436","gelirken",12
"437","hala",12
"438","hale",12
"439","hızlı",12
"440","ifade",12
"441","ilçesine",12
"442","indi",12
"443","kamera",12
"444","karayolunda",12
"445","kavşakta",12
"446","korku",12
"447","koştu",12
"448","krizi",12
"449","olayı",12
"450","olayla",12
"451","olmazken",12
"452","otobüsü",12
"453","oturan",12
"454","özel",12
"455","polislere",12
"456","sürede",12
"457","sürücüden",12
"458","tehdit",12
"459","temmuz",12
"460","vatandaş",12
"461","yanında",12
"462","yerinin",12
"463","zor",12
"464","1",11
"465","11",11
"466","74",11
"467","altında",11
"468","ambulansa",11
"469","ani",11
"470","anları",11
"471","antalya'da",11
"472","arabaya",11
"473","arkadaşının",11
"474","arkasına",11
"475","arkasında",11
"476","atan",11
"477","belirten",11
"478","bölgede",11
"479","bulunduğu",11
"480","caddesi'nde",11
"481","çalışma",11
"482","dikkat",11
"483","duru",11
"484","düştü",11
"485","duvara",11
"486","edip",11
"487","ezdi",11
"488","fatma",11
"489","feci",11
"490","gaz",11
"491","geçmek",11
"492","geriye",11
"493","girişinde",11
"494","hakaretler",11
"495","hayati",11
"496","ilginç",11
"497","i̇lk",11
"498","kamerası",11
"499","kamerasınca",11
"500","karışan",11
"501","karşısında",11
"502","kesildi",11
"503","merkezi",11
"504","metrelerce",11
"505","mevkiinde",11
"506","motosiklete",11
"507","öğrenilirken",11
"508","şerit",11
"509","şoför",11
"510","şükrü",11
"511","sürücüleri",11
"512","tıp",11
"513","tramvayların",11
"514","yabancı",11
"515","yan",11
"516","yeşil",11
"517","yönden",11
"518","06",10
"519","28",10
"520","araçla",10
"521","arkasındaki",10
"522","aynur",10
"523","ayrıldı",10
"524","belirlenemeyen",10
"525","bölgeye",10
"526","boş",10
"527","bugün",10
"528","çalan",10
"529","çarpıyor",10
"530","d",10
"531","direğine",10
"532","durdurup",10
"533","duvarına",10
"534","ederken",10
"535","eğitim",10
"536","gazetesi",10
"537","gece",10
"538","geçiren",10
"539","gitti",10
"540","görüntüler",10
"541","gösterdi",10
"542","h.h.b",10
"543","hatalı",10
"544","i̇ki",10
"545","ileriye",10
"546","i̇negöl",10
"547","ışıkta",10
"548","kaçan",10
"549","kaçmaya",10
"550","kediyi",10
"551","köprüsü",10
"552","levye",10
"553","mahallesinde",10
"554","nün",10
"555","oğlu",10
"556","polisleri",10
"557","raporu",10
"558","sakinleştirildi",10
"559","sayıda",10
"560","sıkıştırdı",10
"561","sokakta",10
"562","sonucunda",10
"563","taraftan",10
"564","tehlikeli",10
"565","tekrar",10
"566","teslim",10
"567","tl",10
"568","tokat",10
"569","uğradığını",10
"570","verildi",10
"571","yakalandı",10
"572","yakın",10
"573","yanındaki",10
"574","yansıyan",10
"575","yaşayan",10
"576","yayalara",10
"577","yi",10
"578","01",9
"579","134",9
"580","30",9
"581","45",9
"582","adli",9
"583","akça",9
"584","alkol",9
"585","apartman",9
"586","araçlarda",9
"587","arka",9
"588","atarak",9
"589","ayşe",9
"590","basın",9
"591","belirlenen",9
"592","belirterek",9
"593","birbirine",9
"594","çarpıp",9
"595","çarpması",9
"596","demokrasi",9
"597","dönerken",9
"598","durabildi",9
"599","elektrik",9
"600","eyüpsultan",9
"601","geçirdi",9
"602","geçti",9
"603","geçtiğimiz",9
"604","giriş",9
"605","gördü",9
"606","görevlileri",9
"607","görülüyor",9
"608","görüntüleri",9
"609","gün",9
"610","ihtarına",9
"611","inmek",9
"612","isterken",9
"613","iterek",9
"614","i̇zmit",9
"615","kadınlar",9
"616","kalan",9
"617","kaldırılarak",9
"618","kamerasıyla",9
"619","kameraya",9
"620","kanalına",9
"621","kenarına",9
"622","kenarındaki",9
"623","kent",9
"624","kilometre",9
"625","kontrolünden",9
"626","medya",9
"627","mehmet",9
"628","mısın",9
"629","müdahaleyi",9
"630","müdürlüğü'ne",9
"631","ölümden",9
"632","önündeki",9
"633","orhangazi",9
"634","sabri",9
"635","saç",9
"636","savrulan",9
"637","servis",9
"638","sürücüsünü",9
"639","sürükledi",9
"640","üzerindeki",9
"641","veren",9
"642","yaparak",9
"643","yaralandığını",9
"644","yaralılar",9
"645","zeliha",9
"646","21",8
"647","23",8
"648","25",8
"649","27",8
"650","adamı",8
"651","aldığı",8
"652","alışveriş",8
"653","alkolmetreyi",8
"654","amaçlı",8
"655","ankara",8
"656","anne",8
"657","araçlarından",8
"658","araçtaki",8
"659","at",8
"660","başında",8
"661","baz",8
"662","be",8
"663","bebeği",8
"664","biber",8
"665","bilgi",8
"666","binip",8
"667","çaba",8
"668","çarpmamak",8
"669","çarşamba",8
"670","çocuğun",8
"671","cuma",8
"672","destek",8
"673","dolu",8
"674","dönüş",8
"675","düşerek",8
"676","ekiplere",8
"677","el",8
"678","ereğli",8
"679","erenkul",8
"680","evine",8
"681","görüntü",8
"682","gözyaşı",8
"683","hastanede",8
"684","hatice",8
"685","hurdaya",8
"686","işlem",8
"687","kamerada",8
"688","kameraları",8
"689","karşıya",8
"690","kavşaktan",8
"691","kişiye",8
"692","konya",8
"693","köpeğe",8
"694","küfürler",8
"695","kurtarmak",8
"696","müdahalesi",8
"697","noktasında",8
"698","normale",8
"699","öğle",8
"700","otobüsünün",8
"701","saldıran",8
"702","savruldu",8
"703","şehrinde",8
"704","şoförünün",8
"705","sokak",8
"706","sulama",8
"707","süren",8
"708","sürerek",8
"709","sürücülere",8
"710","talihsiz",8
"711","tartışmaya",8
"712","tramvay",8
"713","ümmühan",8
"714","üsküdar",8
"715","y",8
"716","yakalamak",8
"717","yakınları",8
"718","yaşamını",8
"719","yavaş",8
"720","yer",8
"721","yerden",8
"722","yıl",8
"723","108",7
"724","14",7
"725","18",7
"726","19",7
"727","2019",7
"728","24",7
"729","26",7
"730","29",7
"731","58",7
"732","68",7
"733","a",7
"734","acemi",7
"735","ajansı",7
"736","alıp",7
"737","annesinin",7
"738","antalya",7
"739","ara",7
"740","arabanın",7
"741","arabasına",7
"742","araçlara",7
"743","araçlarını",7
"744","araya",7
"745","ay",7
"746","bağlantı",7
"747","baş",7
"748","çalıştığı",7
"749","camı",7
"750","camına",7
"751","çarpma",7
"752","çarptıktan",7
"753","çekilen",7
"754","çıktığı",7
"755","çöp",7
"756","dakika",7
"757","dehşet",7
"758","demesi",7
"759","durdurdu",7
"760","edildiği",7
"761","ekim",7
"762","felç",7
"763","geçerek",7
"764","girmesiyle",7
"765","hakkında",7
"766","halatlara",7
"767","halk",7
"768","harekete",7
"769","haziran",7
"770","helikopterli",7
"771","hız",7
"772","hızını",7
"773","i̇brahim",7
"774","içeriye",7
"775","ifadesi",7
"776","istikametinde",7
"777","kadınlara",7
"778","kaldırılırken",7
"779","kalp",7
"780","kameralara",7
"781","kanala",7
"782","kattı",7
"783","kaydedilen",7
"784","kazasında",7
"785","kimsenin",7
"786","kişinin",7
"787","kıl",7
"788","kontrol",7
"789","kovalamaca",7
"790","kucağında",7
"791","kurtarılamadı",7
"792","kuşadası",7
"793","mahallesi’nde",7
"794","motor",7
"795","müdahalenin",7
"796","nermin",7
"797","nesin",7
"798","ofise",7
"799","öfkeli",7
"800","orhan",7
"801","ortaya",7
"802","otoparka",7
"803","özlem",7
"804","payı",7
"805","perşembe",7
"806","saça",7
"807","sakinleştirmeye",7
"808","satış",7
"809","şehitler",7
"810","şeride",7
"811","seyhan",7
"812","sinir",7
"813","şişli'de",7
"814","şoförüyle",7
"815","şoke",7
"816","sol",7
"817","sürücüsüne",7
"818","tarlaya",7
"819","tartıştı",7
"820","te",7
"821","tedaviye",7
"822","tekme",7
"823","telefon",7
"824","telefonuyla",7
"825","türlü",7
"826","üniversitesi",7
"827","vermesi",7
"828","yamyam",7
"829","yaparken",7
"830","yapıldı",7
"831","yapması",7
"832","yardımına",7
"833","yaşattı",7
"834","yeni",7
"835","yerindeki",7
"836","yürüyen",7
"837","004",6
"838","100",6
"839","33",6
"840","67",6
"841","9",6
"842","abi",6
"843","açıldı",6
"844","adama",6
"845","ağza",6
"846","aile",6
"847","akat’ın",6
"848","alakan",6
"849","alanına",6
"850","alınmak",6
"851","alınmayacak",6
"852","atlattı",6
"853","ayağı",6
"854","bastığı",6
"855","bayan",6
"856","bayanlıkla",6
"857","bebeğin",6
"858","belirsiz",6
"859","belirtildi",6
"860","belirtti",6
"861","binen",6
"862","bursa",6
"863","bursa'nın",6
"864","caddeye",6
"865","çalarak",6
"866","camdan",6
"867","çarpıştığı",6
"868","çekiçle",6
"869","çevrede",6
"870","cip",6
"871","cipin",6
"872","çıkardı",6
"873","çıkarılan",6
"874","çıkarıldı",6
"875","çıkarken",6
"876","çıkma",6
"877","çocuğa",6
"878","çocuğunu",6
"879","cumhuriyet",6
"880","demet",6
"881","drift",6
"882","durakta",6
"883","durmayan",6
"884","durumlarının",6
"885","eda",6
"886","edince",6
"887","ekip",6
"888","erdem'in",6
"889","ermenek",6
"890","et",6
"891","eve",6
"892","fırladı",6
"893","funda",6
"894","geç",6
"895","geçener",6
"896","gerekli",6
"897","gerektiğini",6
"898","getirdi",6
"899","gitmekte",6
"900","gittim",6
"901","gözüne",6
"902","hakan",6
"903","halde",6
"904","hamile",6
"905","hastanesi",6
"906","içinden",6
"907","içine",6
"908","ihlal",6
"909","i̇lçe",6
"910","inip",6
"911","i̇nönü",6
"912","istemedi",6
"913","kaçarken",6
"914","kadınları",6
"915","kadınların",6
"916","kafa",6
"917","kafaya",6
"918","kafenin",6
"919","kaldırıldığı",6
"920","kapattı",6
"921","kaputuna",6
"922","karakola",6
"923","kesen",6
"924","kırarak",6
"925","kıza",6
"926","köpeğin",6
"927","köpek",6
"928","kornaya",6
"929","koşan",6
"930","koşarak",6
"931","kt",6
"932","kullandı",6
"933","kurtarıldı",6
"934","kurtulduğu",6
"935","lok",6
"936","manavgat",6
"937","motosikletin",6
"938","müdahalelere",6
"939","normal",6
"940","ocağına",6
"941","öfkesi",6
"942","öğrenilen",6
"943","olası",6
"944","ölen",6
"945","öndeki",6
"946","öne",6
"947","önlemleri",6
"948","ortasında",6
"949","osmangazi",6
"950","otobüsteki",6
"951","otomobilini",6
"952","otomobiller",6
"953","oturdu",6
"954","pazar",6
"955","pazartesi",6
"956","plakasını",6
"957","refüje",6
"958","sağladı",6
"959","saldırdığı",6
"960","şaşırdı",6
"961","serbest",6
"962","sinirlenen",6
"963","şişli",6
"964","sıkıştırdığını",6
"965","şoförün",6
"966","sürüyor",6
"967","tedbir",6
"968","tehlikesinin",6
"969","teskin",6
"970","test",6
"971","tir",6
"972","tırmandı",6
"973","trafikten",6
"974","tutarak",6
"975","uçarak",6
"976","vinç",6
"977","virajı",6
"978","vurmaya",6
"979","yakınlarında",6
"980","yatan",6
"981","yavru",6
"982","yitirdi",6
"983","yönünde",6
"984","yorum",6
"985","yükseklikten",6
"986","z",6
"987","zincirleme",6
"988","zorunlu",6
"989","2020",5
"990","37",5
"991","40",5
"992","41",5
"993","42",5
"994","47",5
"995","50",5
"996","56",5
"997","90",5
"998","abd",5
"999","acı",5
"1000","açtı",5
"1001","adliye",5
"1002","adliyeye",5
"1003","adlı",5
"1004","ağlayan",5
"1005","alev",5
"1006","ali",5
"1007","alınarak",5
"1008","alırken",5
"1009","almak",5
"1010","almaya",5
"1011","apartmanın",5
"1012","arabada",5
"1013","arabamı",5
"1014","arabasından",5
"1015","arabayı",5
"1016","aşırı",5
"1017","atatürk",5
"1018","ateş",5
"1019","atılan",5
"1020","ayakta",5
"1021","ayırdı",5
"1022","ayrımında",5
"1023","b",5
"1024","bağırdı",5
"1025","baktım",5
"1026","başa",5
"1027","başakşehir'de",5
"1028","bayar",5
"1029","bebek",5
"1030","belirlemelere",5
"1031","beraber",5
"1032","bildirildi",5
"1033","bilinmeyen",5
"1034","binanın",5
"1035","bisiklet",5
"1036","boğulan",5
"1037","boşluğuna",5
"1038","bulunmadığı",5
"1039","bulunuyor",5
"1040","bulvarı'nda",5
"1041","caddede",5
"1042","camları",5
"1043","çarptığını",5
"1044","çevredekiler",5
"1045","çileli",5
"1046","çıktığını",5
"1047","çocuğuyla",5
"1048","dalmızrak",5
"1049","defalarca",5
"1050","deliye",5
"1051","denetimi",5
"1052","devrilen",5
"1053","dışarı",5
"1054","dışarıya",5
"1055","dükkanın",5
"1056","durduruldu",5
"1057","duruma",5
"1058","edremit",5
"1059","ekiplerini",5
"1060","ekspres",5
"1061","esenyurt'ta",5
"1062","esnaf",5
"1063","etmeyen",5
"1064","ettim",5
"1065","ettirdi",5
"1066","eylül",5
"1067","fatih",5
"1068","fırlayan",5
"1069","g",5
"1070","gaziantep",5
"1071","gazını",5
"1072","geçidinde",5
"1073","geçidinden",5
"1074","geçişini",5
"1075","geçtiği",5
"1076","gelerek",5
"1077","geliyor",5
"1078","gerçekten",5
"1079","giderek",5
"1080","girerek",5
"1081","görünüş",5
"1082","göstererek",5
"1083","haberi",5
"1084","hakaret",5
"1085","helikopteri",5
"1086","helikopterle",5
"1087","içerisindeki",5
"1088","içerisinden",5
"1089","içi",5
"1090","ifadelerini",5
"1091","ihbar",5
"1092","ihtarında",5
"1093","ileride",5
"1094","inerken",5
"1095","insanların",5
"1096","iple",5
"1097","işlemini",5
"1098","istedik",5
"1099","istiyorum",5
"1100","izin",5
"1101","i̇znik",5
"1102","jandarma",5
"1103","kabul",5
"1104","kadında",5
"1105","kaldırılmasıyla",5
"1106","kapan",5
"1107","kapısına",5
"1108","kapıyı",5
"1109","kaput",5
"1110","karadaki",5
"1111","karayolu’nda",5
"1112","kardeşe",5
"1113","karıştı",5
"1114","karıştığı",5
"1115","karşıdan",5
"1116","kaybedince",5
"1117","kilometrelerce",5
"1118","kişiyi",5
"1119","kitap",5
"1120","kocaeli",5
"1121","kontrollü",5
"1122","kullanılamaz",5
"1123","kurtulan",5
"1124","kuru",5
"1125","kutusuna",5
"1126","manevra",5
"1127","memurunun",5
"1128","meselesi",5
"1129","müdahalesini",5
"1130","müdürü",5
"1131","münevver",5
"1132","nezahat",5
"1133","not",5
"1134","oğluyla",5
"1135","öğrenen",5
"1136","olamadı",5
"1137","olurken",5
"1138","önlemi",5
"1139","orta",5
"1140","ortalığı",5
"1141","otomobilinden",5
"1142","otomobilinin",5
"1143","özer",5
"1144","panik",5
"1145","pazara",5
"1146","penceresine",5
"1147","personeli",5
"1148","peşinden",5
"1149","peşine",5
"1150","poli̇s",5
"1151","psikolojik",5
"1152","rukiye",5
"1153","saldırmaya",5
"1154","saniyeler",5
"1155","savaş",5
"1156","sebep",5
"1157","şeritten",5
"1158","sertsoy",5
"1159","sesini",5
"1160","şiddetiyle",5
"1161","şikayeti",5
"1162","sinan",5
"1163","sivil",5
"1164","sıkıştı",5
"1165","sıkıştığı",5
"1166","sıkıştırması",5
"1167","sorumlu",5
"1168","spor",5
"1169","sularında",5
"1170","sürdü",5
"1171","takıldı",5
"1172","takılı",5
"1173","takıyorum",5
"1174","tartıştığı",5
"1175","teşekkür",5
"1176","toplayıcısına",5
"1177","trafiğin",5
"1178","tramvaydaki",5
"1179","tutanak",5
"1180","ukrayna'da",5
"1181","uludağ",5
"1182","vatandaşın",5
"1183","verdiği",5
"1184","vi̇deo",5
"1185","vurarak",5
"1186","yana",5
"1187","yaralandığı",5
"1188","yardıma",5
"1189","yaşadıklarını",5
"1190","yaşananlar",5
"1191","yaşandığı",5
"1192","yaşında",5
"1193","yayaya",5
"1194","yazılan",5
"1195","yıldırım",5
"1196","yolculardan",5
"1197","yolcuların",5
"1198","yüreğir",5
"1199","yüzünü",5
"1200","zemin",5
"1201","zorunda",5
"1202","02",4
"1203","03",4
"1204","2017",4
"1205","2021",4
"1206","36",4
"1207","3613",4
"1208","39",4
"1209","48",4
"1210","501",4
"1211","6",4
"1212","61",4
"1213","7",4
"1214","70",4
"1215","8",4
"1216","a.s",4
"1217","adıyaman",4
"1218","ağaca",4
"1219","ailesi",4
"1220","akaryakıt",4
"1221","akif",4
"1222","alamayarak",4
"1223","aldım",4
"1224","amatör",4
"1225","amirliği",4
"1226","anında",4
"1227","anlarda",4
"1228","anlatan",4
"1229","anlattı",4
"1230","annesiyle",4
"1231","arabamın",4
"1232","arabasının",4
"1233","arabayla",4
"1234","aracımı",4
"1235","aracımın",4
"1236","aradı",4
"1237","aralık",4
"1238","arayarak",4
"1239","arkada",4
"1240","arkadaki",4
"1241","arkadaşını",4
"1242","atlatan",4
"1243","atlattığı",4
"1244","ayakkabı",4
"1245","aydınlatma",4
"1246","baba",4
"1247","babası",4
"1248","başlayan",4
"1249","bayağı",4
"1250","bazıları",4
"1251","bekledi",4
"1252","beklerken",4
"1253","belediyesi",4
"1254","belirlendi",4
"1255","belirtilen",4
"1256","bende",4
"1257","beyefendi",4
"1258","beykoz'da",4
"1259","bilir",4
"1260","bindi",4
"1261","bisiklete",4
"1262","bisikletli",4
"1263","biyan",4
"1264","bırakıldı",4
"1265","bıraktı",4
"1266","buldu",4
"1267","bulunmasını",4
"1268","bununla",4
"1269","büyükşehir",4
"1270","cafer",4
"1271","çaldı",4
"1272","çaldığı",4
"1273","çalışanları",4
"1274","çalışıldı",4
"1275","cansız",4
"1276","çarpışmanın",4
"1277","çarpmasıyla",4
"1278","çekildi",4
"1279","çekip",4
"1280","çevresinde",4
"1281","cezadan",4
"1282","ciddiyetini",4
"1283","çiğdem",4
"1284","çıkararak",4
"1285","çocuğum",4
"1286","çocuğunun",4
"1287","çocuklar",4
"1288","davacı",4
"1289","dediği",4
"1290","denetiminde",4
"1291","deniz",4
"1292","dere",4
"1293","dile",4
"1294","dilek",4
"1295","dilmeç",4
"1296","dinmedi",4
"1297","direksiyonu",4
"1298","direkt",4
"1299","dizüstü",4
"1300","döken",4
"1301","döktü",4
"1302","dönmek",4
"1303","dükkanına",4
"1304","dündar",4
"1305","duraklamak",4
"1306","durduran",4
"1307","durdurmak",4
"1308","durdurmaya",4
"1309","durmadı",4
"1310","duruyor",4
"1311","düşünce",4
"1312","e.e",4
"1313","ekibinin",4
"1314","elif",4
"1315","elindeki",4
"1316","emniyete",4
"1317","endişe",4
"1318","engelli",4
"1319","erkan",4
"1320","esenyurt",4
"1321","eşine",4
"1322","eski",4
"1323","eskişehir",4
"1324","etkisi",4
"1325","etme",4
"1326","faciayı",4
"1327","filiz",4
"1328","fırına",4
"1329","fırlattı",4
"1330","fırsat",4
"1331","g.t",4
"1332","gazipaşa",4
"1333","gd",4
"1334","gelmesi",4
"1335","geniş",4
"1336","gidecekleri",4
"1337","girdiği",4
"1338","girerken",4
"1339","görev",4
"1340","görülen",4
"1341","gösteren",4
"1342","gözden",4
"1343","gözyaşları",4
"1344","gününde",4
"1345","güzergah",4
"1346","h.s",4
"1347","haberler",4
"1348","hafta",4
"1349","hâkimiyetini",4
"1350","hamidiye",4
"1351","hanımefendi",4
"1352","hasarlı",4
"1353","hava",4
"1354","havadan",4
"1355","hell",4
"1356","hırsızlık",4
"1357","içindeki",4
"1358","ifadesinde",4
"1359","ilerlediği",4
"1360","ilerlerken",4
"1361","imdadına",4
"1362","inmesini",4
"1363","işçiyi",4
"1364","işıklarda",4
"1365","i̇stanbul’da",4
"1366","i̇tfaiye",4
"1367","ışıklarında",4
"1368","kaçıyor",4
"1369","kadin",4
"1370","kadıköy'de",4
"1371","kağıt",4
"1372","kahramanoğlu",4
"1373","kaldıklarını",4
"1374","kalmaktan",4
"1375","kanamadan",4
"1376","kapatan",4
